Timestamp,X,Y,BTN_TOUCH,WIDTH_MAJOR,WIDTH_MINOR,ORIENTATION,PRESSURE,FINGER
0.0,1986,1538,,-420,-420,-420,-420,0
0.008394000000407686,1987,1540,HELD,-420,-420,-420,-420,0
0.016740999999456108,1989,1541,HELD,-420,-420,-420,-420,0
0.024906999999075197,1991,1543,HELD,-420,-420,-420,-420,0
0.03344899999865447,1992,1545,HELD,-420,-420,-420,-420,0
0.04162300000098185,1994,1547,HELD,-420,-420,-420,-420,0
0.050168999998277286,1996,1549,HELD,-420,-420,-420,-420,0
0.058352000000013504,1997,1550,HELD,-420,-420,-420,-420,0
0.06687400000009802,1999,1553,HELD,-420,-420,-420,-420,0
0.07504999999946449,2000,1554,HELD,-420,-420,-420,-420,0
0.08358299999963492,2002,1556,HELD,-420,-420,-420,-420,0
0.09182999999757158,2004,1557,HELD,-420,-420,-420,-420,0
0.1084789999986242,2007,1560,HELD,-420,-420,-420,-420,0
0.11702499999955762,2010,1563,HELD,-420,-420,-420,-420,0
0.12519799999790848,2012,1566,HELD,-420,-420,-420,-420,0
0.13372800000070129,2014,1568,HELD,-420,-420,-420,-420,0
0.14189299999998184,2016,1570,HELD,-420,-420,-420,-420,0
0.15044099999795435,2018,1572,HELD,-420,-420,-420,-420,0
0.15860799999791197,2020,1574,HELD,-420,-420,-420,-420,0
0.16714599999977509,2021,1576,HELD,-420,-420,-420,-420,0
0.1753309999985504,2023,1578,HELD,-420,-420,-420,-420,0
0.18386499999905936,2026,1580,HELD,-420,-420,-420,-420,0
0.19204499999977998,2028,1582,HELD,-420,-420,-420,-420,0
0.20056499999918742,2030,1583,HELD,-420,-420,-420,-420,0
0.20894299999781651,2031,1584,HELD,-420,-420,-420,-420,0
0.217291999997542,2034,1586,HELD,-420,-420,-420,-420,0
0.23402799999894341,2037,1588,HELD,-420,-420,-420,-420,0
0.2507179999993241,2040,1590,HELD,-420,-420,-420,-420,0
0.2841489999991609,2044,1591,HELD,-420,-420,-420,-420,0
0.2923159999991185,2045,1592,HELD,-420,-420,-420,-420,0
0.31755300000077114,2047,1593,HELD,-420,-420,-420,-420,0
0.32572799999979907,2049,1594,HELD,-420,-420,-420,-420,0
0.3591999999989639,2052,1595,HELD,-420,-420,-420,-420,0
0.36784500000067055,2053,1594,HELD,-420,-420,-420,-420,0
0.4010789999992994,2055,1596,HELD,-420,-420,-420,-420,0
0.4092789999995148,2056,1597,HELD,-420,-420,-420,-420,0
0.5430119999982708,2055,1596,HELD,-420,-420,-420,-420,0
0.5515339999983553,2056,1598,HELD,-420,-420,-420,-420,0
0.726846999998088,2051,1597,HELD,-420,-420,-420,-420,0
0.7602679999981774,2049,1596,HELD,-420,-420,-420,-420,0
0.7770219999983965,2046,1597,HELD,-420,-420,-420,-420,0
0.8356739999981073,2043,1595,HELD,-420,-420,-420,-420,0
0.877266999999847,2042,1597,HELD,-420,-420,-420,-420,0
0.9027839999980642,2675,3357,HELD,-420,-420,-420,-420,0
0.9108139999989362,2675,3357,HELD,-420,-420,-420,-420,0
0.9108139999989362,2041,-420,,-420,-420,-420,-420,1
0.919925999998668,2678,3357,HELD,-420,-420,-420,-420,0
0.919925999998668,2040,-420,HELD,-420,-420,-420,-420,1
0.9365609999986191,2683,3356,HELD,-420,-420,-420,-420,0
0.9442689999996219,2687,3356,HELD,-420,-420,-420,-420,0
0.9528829999981099,2693,3355,HELD,-420,-420,-420,-420,0
0.9610570000004373,2700,3353,HELD,-420,-420,-420,-420,0
0.969597999999678,2709,3352,HELD,-420,-420,-420,-420,0
